Posisi X;Posisi Y;Type Minutiae;Nama Class
20;157;0;Plain whorl
22;169;0;Plain whorl
23;101;0;Plain whorl
28;99;1;Plain whorl
28;103;1;Plain whorl
28;104;1;Plain whorl
28;105;0;Plain whorl
28;160;0;Plain whorl
29;98;1;Plain whorl
29;99;1;Plain whorl
29;100;1;Plain whorl
29;102;1;Plain whorl
29;103;1;Plain whorl
29;163;1;Plain whorl
29;164;1;Plain whorl
29;173;0;Plain whorl
30;91;0;Plain whorl
30;98;1;Plain whorl
30;112;0;Plain whorl
30;164;1;Plain whorl
30;165;1;Plain whorl
31;122;0;Plain whorl
31;167;0;Plain whorl
32;96;1;Plain whorl
32;120;1;Plain whorl
32;121;1;Plain whorl
32;154;0;Plain whorl
32;155;0;Plain whorl
33;82;0;Plain whorl
33;95;1;Plain whorl
33;96;1;Plain whorl
33;119;1;Plain whorl
33;120;1;Plain whorl
33;135;0;Plain whorl
34;82;1;Plain whorl
34;95;1;Plain whorl
34;107;0;Plain whorl
34;118;1;Plain whorl
34;119;1;Plain whorl
34;140;1;Plain whorl
34;141;1;Plain whorl
35;81;1;Plain whorl
35;82;1;Plain whorl
35;94;1;Plain whorl
35;95;1;Plain whorl
35;117;1;Plain whorl
35;118;1;Plain whorl
35;141;1;Plain whorl
35;142;1;Plain whorl
35;160;0;Plain whorl
35;180;1;Plain whorl
36;81;1;Plain whorl
36;87;0;Plain whorl
36;94;1;Plain whorl
36;116;1;Plain whorl
36;117;1;Plain whorl
36;144;1;Plain whorl
36;180;1;Plain whorl
36;181;1;Plain whorl
37;145;1;Plain whorl
37;181;1;Plain whorl
37;182;1;Plain whorl
38;86;0;Plain whorl
38;146;1;Plain whorl
38;150;0;Plain whorl
38;182;1;Plain whorl
38;183;1;Plain whorl
39;114;0;Plain whorl
39;132;0;Plain whorl
39;146;1;Plain whorl
39;147;1;Plain whorl
39;170;0;Plain whorl
39;183;1;Plain whorl
40;146;1;Plain whorl
41;85;0;Plain whorl
41;92;1;Plain whorl
41;109;0;Plain whorl
42;91;1;Plain whorl
42;92;1;Plain whorl
43;74;0;Plain whorl
43;79;1;Plain whorl
43;84;0;Plain whorl
43;91;1;Plain whorl
43;130;1;Plain whorl
43;173;0;Plain whorl
44;78;1;Plain whorl
44;79;1;Plain whorl
44;84;0;Plain whorl
44;129;1;Plain whorl
44;130;1;Plain whorl
44;184;1;Plain whorl
45;78;1;Plain whorl
45;90;1;Plain whorl
45;107;1;Plain whorl
45;129;1;Plain whorl
45;144;0;Plain whorl
45;184;1;Plain whorl
45;185;1;Plain whorl
46;83;0;Plain whorl
46;89;1;Plain whorl
46;90;1;Plain whorl
46;106;1;Plain whorl
46;107;1;Plain whorl
46;120;0;Plain whorl
46;185;1;Plain whorl
47;78;0;Plain whorl
47;89;1;Plain whorl
47;106;1;Plain whorl
48;72;1;Plain whorl
48;88;1;Plain whorl
48;187;1;Plain whorl
49;71;1;Plain whorl
49;72;1;Plain whorl
49;77;0;Plain whorl
49;87;1;Plain whorl
49;88;1;Plain whorl
49;152;0;Plain whorl
49;187;1;Plain whorl
49;188;1;Plain whorl
50;71;1;Plain whorl
50;87;1;Plain whorl
50;99;0;Plain whorl
50;188;1;Plain whorl
51;86;1;Plain whorl
51;87;1;Plain whorl
52;86;1;Plain whorl
53;70;0;Plain whorl
53;76;1;Plain whorl
