Posisi X;Posisi Y;Type Minutiae;Nama Class
21;43;1;Ulnair loop
21;44;1;Ulnair loop
21;46;0;Ulnair loop
21;131;0;Ulnair loop
21;138;0;Ulnair loop
21;139;1;Ulnair loop
21;140;1;Ulnair loop
21;158;0;Ulnair loop
21;176;0;Ulnair loop
21;184;0;Ulnair loop
21;192;0;Ulnair loop
22;40;1;Ulnair loop
22;41;1;Ulnair loop
22;42;1;Ulnair loop
22;43;1;Ulnair loop
22;63;1;Ulnair loop
22;64;1;Ulnair loop
22;65;0;Ulnair loop
22;95;0;Ulnair loop
22;102;0;Ulnair loop
22;111;1;Ulnair loop
22;112;1;Ulnair loop
22;140;1;Ulnair loop
22;141;1;Ulnair loop
22;192;0;Ulnair loop
23;38;1;Ulnair loop
23;39;1;Ulnair loop
23;40;1;Ulnair loop
23;43;1;Ulnair loop
23;62;1;Ulnair loop
23;63;1;Ulnair loop
23;76;0;Ulnair loop
23;85;0;Ulnair loop
23;110;1;Ulnair loop
23;111;1;Ulnair loop
23;141;1;Ulnair loop
23;198;0;Ulnair loop
23;202;1;Ulnair loop
23;203;1;Ulnair loop
23;204;1;Ulnair loop
24;37;1;Ulnair loop
24;38;1;Ulnair loop
24;110;1;Ulnair loop
24;142;1;Ulnair loop
24;201;1;Ulnair loop
24;204;1;Ulnair loop
24;205;1;Ulnair loop
25;37;1;Ulnair loop
25;43;0;Ulnair loop
25;53;1;Ulnair loop
25;54;1;Ulnair loop
25;143;1;Ulnair loop
25;144;1;Ulnair loop
25;188;0;Ulnair loop
25;200;1;Ulnair loop
25;205;1;Ulnair loop
26;52;1;Ulnair loop
26;53;1;Ulnair loop
26;144;1;Ulnair loop
26;145;1;Ulnair loop
26;158;1;Ulnair loop
26;190;0;Ulnair loop
27;73;0;Ulnair loop
27;150;0;Ulnair loop
27;156;0;Ulnair loop
27;157;1;Ulnair loop
28;49;1;Ulnair loop
28;50;1;Ulnair loop
28;192;0;Ulnair loop
29;48;1;Ulnair loop
29;49;1;Ulnair loop
29;70;0;Ulnair loop
30;48;1;Ulnair loop
30;70;1;Ulnair loop
31;33;1;Ulnair loop
31;69;1;Ulnair loop
31;70;1;Ulnair loop
32;32;1;Ulnair loop
32;33;1;Ulnair loop
32;69;1;Ulnair loop
32;107;1;Ulnair loop
33;31;1;Ulnair loop
33;32;1;Ulnair loop
33;99;1;Ulnair loop
33;106;1;Ulnair loop
33;107;1;Ulnair loop
33;190;0;Ulnair loop
34;31;1;Ulnair loop
34;46;0;Ulnair loop
34;68;1;Ulnair loop
34;94;1;Ulnair loop
34;98;1;Ulnair loop
34;99;1;Ulnair loop
34;106;1;Ulnair loop
34;130;0;Ulnair loop
35;67;1;Ulnair loop
35;68;1;Ulnair loop
35;94;1;Ulnair loop
35;95;1;Ulnair loop
35;97;1;Ulnair loop
35;98;1;Ulnair loop
35;105;0;Ulnair loop
35;164;0;Ulnair loop
36;40;0;Ulnair loop
36;66;1;Ulnair loop
36;67;1;Ulnair loop
36;136;1;Ulnair loop
36;137;1;Ulnair loop
36;165;0;Ulnair loop
36;177;0;Ulnair loop
36;193;1;Ulnair loop
36;200;0;Ulnair loop
37;65;1;Ulnair loop
37;66;1;Ulnair loop
37;92;1;Ulnair loop
37;137;1;Ulnair loop
37;138;1;Ulnair loop
37;155;0;Ulnair loop
37;178;1;Ulnair loop
37;194;1;Ulnair loop
38;39;1;Ulnair loop
38;91;1;Ulnair loop
38;92;1;Ulnair loop
38;141;0;Ulnair loop
38;178;1;Ulnair loop
38;179;1;Ulnair loop
38;195;0;Ulnair loop
38;209;0;Ulnair loop
39;38;1;Ulnair loop
39;39;1;Ulnair loop
39;60;1;Ulnair loop
39;61;1;Ulnair loop
39;85;1;Ulnair loop
39;90;1;Ulnair loop
39;91;1;Ulnair loop
39;179;1;Ulnair loop
40;38;1;Ulnair loop
40;59;1;Ulnair loop
40;60;1;Ulnair loop
40;85;1;Ulnair loop
40;86;1;Ulnair loop
40;102;0;Ulnair loop
40;189;0;Ulnair loop
41;85;1;Ulnair loop
41;157;0;Ulnair loop
43;48;1;Ulnair loop
43;49;1;Ulnair loop
43;99;1;Ulnair loop
43;100;1;Ulnair loop
43;181;1;Ulnair loop
43;193;0;Ulnair loop
44;47;1;Ulnair loop
44;48;1;Ulnair loop
44;97;1;Ulnair loop
44;98;1;Ulnair loop
44;99;1;Ulnair loop
44;181;1;Ulnair loop
44;182;1;Ulnair loop
