Posisi X;Posisi Y;Type Minutiae;Nama Class
18;27;0;Plain Arch
18;34;0;Plain Arch
19;14;0;Plain Arch
19;20;0;Plain Arch
19;26;0;Plain Arch
20;19;0;Plain Arch
21;13;0;Plain Arch
21;31;0;Plain Arch
23;29;0;Plain Arch
28;24;1;Plain Arch
29;23;1;Plain Arch
29;24;1;Plain Arch
30;23;1;Plain Arch
32;21;0;Plain Arch
38;21;0;Plain Arch
38;134;0;Plain Arch
39;135;0;Plain Arch
40;20;0;Plain Arch
40;32;0;Plain Arch
42;19;0;Plain Arch
43;18;0;Plain Arch
44;29;0;Plain Arch
45;51;0;Plain Arch
46;28;0;Plain Arch
46;50;0;Plain Arch
47;27;0;Plain Arch
52;29;0;Plain Arch
53;13;0;Plain Arch
53;28;0;Plain Arch
53;183;0;Plain Arch
54;12;0;Plain Arch
54;184;0;Plain Arch
58;16;0;Plain Arch
58;25;0;Plain Arch
59;24;0;Plain Arch
60;14;0;Plain Arch
68;24;0;Plain Arch
68;30;0;Plain Arch
69;29;0;Plain Arch
72;21;0;Plain Arch
73;27;0;Plain Arch
73;114;0;Plain Arch
74;115;0;Plain Arch
75;191;0;Plain Arch
76;118;0;Plain Arch
77;193;0;Plain Arch
78;120;0;Plain Arch
79;196;0;Plain Arch
80;22;0;Plain Arch
80;115;0;Plain Arch
81;29;0;Plain Arch
81;116;0;Plain Arch
81;198;0;Plain Arch
82;200;0;Plain Arch
83;27;0;Plain Arch
84;192;0;Plain Arch
85;113;0;Plain Arch
85;203;0;Plain Arch
86;114;0;Plain Arch
86;179;0;Plain Arch
86;194;0;Plain Arch
90;183;0;Plain Arch
95;196;0;Plain Arch
98;199;0;Plain Arch
99;54;0;Plain Arch
99;79;0;Plain Arch
100;53;0;Plain Arch
105;73;0;Plain Arch
106;107;0;Plain Arch
107;108;0;Plain Arch
108;101;0;Plain Arch
108;193;0;Plain Arch
109;102;0;Plain Arch
109;194;0;Plain Arch
113;17;0;Plain Arch
113;50;0;Plain Arch
113;126;0;Plain Arch
113;201;0;Plain Arch
114;23;0;Plain Arch
114;49;0;Plain Arch
114;127;0;Plain Arch
115;204;0;Plain Arch
117;20;0;Plain Arch
118;69;0;Plain Arch
119;12;0;Plain Arch
119;105;0;Plain Arch
120;67;0;Plain Arch
120;106;0;Plain Arch
120;126;0;Plain Arch
121;151;0;Plain Arch
122;128;0;Plain Arch
123;21;0;Plain Arch
124;156;0;Plain Arch
128;16;0;Plain Arch
128;50;0;Plain Arch
129;49;0;Plain Arch
129;100;0;Plain Arch
130;101;0;Plain Arch
131;35;0;Plain Arch
131;103;0;Plain Arch
131;122;0;Plain Arch
132;123;0;Plain Arch
133;33;0;Plain Arch
133;105;0;Plain Arch
133;125;0;Plain Arch
134;126;0;Plain Arch
136;22;0;Plain Arch
137;100;0;Plain Arch
138;21;0;Plain Arch
138;208;0;Plain Arch
139;104;0;Plain Arch
145;207;0;Plain Arch
146;106;0;Plain Arch
147;107;0;Plain Arch
148;109;0;Plain Arch
150;112;0;Plain Arch
152;83;0;Plain Arch
152;85;0;Plain Arch
153;166;0;Plain Arch
153;167;0;Plain Arch
154;69;0;Plain Arch
154;70;0;Plain Arch
155;66;0;Plain Arch
155;67;0;Plain Arch
155;144;0;Plain Arch
155;145;0;Plain Arch
156;110;0;Plain Arch
156;111;0;Plain Arch
159;79;0;Plain Arch
159;80;0;Plain Arch
160;71;0;Plain Arch
160;72;0;Plain Arch
161;145;0;Plain Arch
161;147;0;Plain Arch
165;130;0;Plain Arch
165;131;0;Plain Arch
168;103;0;Plain Arch
168;104;0;Plain Arch
171;135;0;Plain Arch
171;136;0;Plain Arch
174;96;0;Plain Arch
174;107;0;Plain Arch
180;57;0;Plain Arch
180;58;0;Plain Arch
180;97;0;Plain Arch
180;98;0;Plain Arch
181;54;0;Plain Arch
181;55;0;Plain Arch
181;87;0;Plain Arch
181;92;0;Plain Arch
182;77;0;Plain Arch
182;82;0;Plain Arch
182;131;0;Plain Arch
182;136;0;Plain Arch
183;31;0;Plain Arch
183;72;0;Plain Arch
183;74;0;Plain Arch
184;155;0;Plain Arch
184;158;0;Plain Arch
184;175;0;Plain Arch
184;176;0;Plain Arch
185;27;0;Plain Arch
185;64;0;Plain Arch
185;66;0;Plain Arch
185;104;0;Plain Arch
185;106;0;Plain Arch
188;51;0;Plain Arch
188;52;0;Plain Arch
188;131;0;Plain Arch
188;132;0;Plain Arch
190;151;0;Plain Arch
190;154;0;Plain Arch
190;167;0;Plain Arch
190;172;0;Plain Arch
191;63;0;Plain Arch
191;64;0;Plain Arch
191;97;0;Plain Arch
191;101;0;Plain Arch
192;59;0;Plain Arch
192;60;0;Plain Arch
192;89;0;Plain Arch
192;93;0;Plain Arch
193;56;0;Plain Arch
193;57;0;Plain Arch
193;82;0;Plain Arch
193;83;0;Plain Arch
194;75;0;Plain Arch
194;76;0;Plain Arch
194;124;1;Plain Arch
194;125;1;Plain Arch
194;133;0;Plain Arch
194;140;0;Plain Arch
194;143;0;Plain Arch
194;190;0;Plain Arch
194;191;0;Plain Arch
195;122;0;Plain Arch
195;123;1;Plain Arch
195;124;1;Plain Arch
195;180;0;Plain Arch
195;181;0;Plain Arch
196;171;0;Plain Arch
196;174;0;Plain Arch
197;100;1;Plain Arch
197;101;1;Plain Arch
197;113;0;Plain Arch
197;162;0;Plain Arch
197;165;0;Plain Arch
198;95;1;Plain Arch
198;96;1;Plain Arch
198;99;1;Plain Arch
198;100;1;Plain Arch
198;152;0;Plain Arch
198;153;0;Plain Arch
