Posisi X;Posisi Y;Type Minutiae;Nama Class
21;60;0;Central pocket loop
21;91;0;Central pocket loop
21;137;0;Central pocket loop
21;146;0;Central pocket loop
21;147;0;Central pocket loop
21;150;0;Central pocket loop
22;31;0;Central pocket loop
22;101;0;Central pocket loop
22;119;0;Central pocket loop
23;57;1;Central pocket loop
23;58;1;Central pocket loop
23;96;0;Central pocket loop
23;126;0;Central pocket loop
23;175;0;Central pocket loop
24;56;1;Central pocket loop
24;57;1;Central pocket loop
24;138;1;Central pocket loop
24;151;1;Central pocket loop
25;55;1;Central pocket loop
25;56;1;Central pocket loop
25;107;0;Central pocket loop
25;138;1;Central pocket loop
25;139;1;Central pocket loop
25;151;1;Central pocket loop
25;152;1;Central pocket loop
26;53;1;Central pocket loop
26;54;1;Central pocket loop
26;84;1;Central pocket loop
26;85;1;Central pocket loop
26;139;1;Central pocket loop
26;152;1;Central pocket loop
27;52;1;Central pocket loop
27;53;1;Central pocket loop
27;83;1;Central pocket loop
27;84;1;Central pocket loop
27;139;1;Central pocket loop
28;50;1;Central pocket loop
28;51;1;Central pocket loop
28;118;1;Central pocket loop
28;139;1;Central pocket loop
28;140;1;Central pocket loop
29;49;1;Central pocket loop
29;50;1;Central pocket loop
29;80;1;Central pocket loop
29;81;1;Central pocket loop
29;117;1;Central pocket loop
29;118;1;Central pocket loop
29;140;1;Central pocket loop
30;79;1;Central pocket loop
30;80;1;Central pocket loop
30;109;1;Central pocket loop
30;117;1;Central pocket loop
30;134;0;Central pocket loop
30;152;0;Central pocket loop
31;78;1;Central pocket loop
31;79;1;Central pocket loop
31;109;1;Central pocket loop
31;110;1;Central pocket loop
32;29;1;Central pocket loop
32;46;0;Central pocket loop
32;77;1;Central pocket loop
32;78;1;Central pocket loop
32;110;1;Central pocket loop
33;28;1;Central pocket loop
33;29;1;Central pocket loop
33;76;1;Central pocket loop
33;77;1;Central pocket loop
33;117;0;Central pocket loop
34;28;1;Central pocket loop
34;75;1;Central pocket loop
34;76;1;Central pocket loop
34;142;0;Central pocket loop
35;75;1;Central pocket loop
