Posisi X;Posisi Y;Type Minutiae;Nama Class
20;33;0;Twinted loop
20;62;0;Twinted loop
20;66;0;Twinted loop
20;67;0;Twinted loop
20;122;0;Twinted loop
20;178;0;Twinted loop
20;179;1;Twinted loop
20;180;1;Twinted loop
21;19;0;Twinted loop
21;21;0;Twinted loop
21;41;0;Twinted loop
21;60;1;Twinted loop
21;61;1;Twinted loop
21;103;0;Twinted loop
21;180;1;Twinted loop
21;181;1;Twinted loop
21;182;1;Twinted loop
22;17;1;Twinted loop
22;18;1;Twinted loop
22;52;0;Twinted loop
22;59;1;Twinted loop
22;60;1;Twinted loop
22;114;0;Twinted loop
22;182;1;Twinted loop
22;183;1;Twinted loop
22;201;0;Twinted loop
23;16;1;Twinted loop
23;17;1;Twinted loop
23;21;0;Twinted loop
23;50;1;Twinted loop
23;51;1;Twinted loop
23;101;0;Twinted loop
23;122;0;Twinted loop
23;184;1;Twinted loop
23;185;1;Twinted loop
24;15;1;Twinted loop
24;16;1;Twinted loop
24;29;1;Twinted loop
24;37;1;Twinted loop
24;49;1;Twinted loop
24;50;1;Twinted loop
24;96;0;Twinted loop
24;109;0;Twinted loop
24;151;0;Twinted loop
24;165;1;Twinted loop
24;185;1;Twinted loop
24;186;1;Twinted loop
25;15;1;Twinted loop
25;28;1;Twinted loop
25;29;1;Twinted loop
25;36;1;Twinted loop
25;37;1;Twinted loop
25;164;1;Twinted loop
25;188;1;Twinted loop
26;14;0;Twinted loop
26;27;1;Twinted loop
26;28;1;Twinted loop
26;36;1;Twinted loop
26;55;1;Twinted loop
26;136;1;Twinted loop
26;137;1;Twinted loop
26;188;1;Twinted loop
26;189;1;Twinted loop
27;27;1;Twinted loop
27;54;1;Twinted loop
27;55;1;Twinted loop
27;63;0;Twinted loop
27;108;1;Twinted loop
27;134;1;Twinted loop
27;135;1;Twinted loop
27;136;1;Twinted loop
27;173;0;Twinted loop
27;189;1;Twinted loop
27;190;1;Twinted loop
28;34;1;Twinted loop
28;45;0;Twinted loop
28;53;1;Twinted loop
28;54;1;Twinted loop
28;87;1;Twinted loop
28;107;1;Twinted loop
28;108;1;Twinted loop
28;133;1;Twinted loop
28;134;1;Twinted loop
28;157;1;Twinted loop
28;190;1;Twinted loop
29;33;1;Twinted loop
29;34;1;Twinted loop
29;52;1;Twinted loop
29;53;1;Twinted loop
29;86;1;Twinted loop
29;87;1;Twinted loop
29;106;1;Twinted loop
29;107;1;Twinted loop
29;156;1;Twinted loop
29;190;1;Twinted loop
29;191;1;Twinted loop
30;32;1;Twinted loop
30;33;1;Twinted loop
30;51;1;Twinted loop
30;52;1;Twinted loop
30;86;1;Twinted loop
30;101;0;Twinted loop
30;154;0;Twinted loop
30;191;1;Twinted loop
30;203;1;Twinted loop
31;32;1;Twinted loop
31;39;0;Twinted loop
31;50;1;Twinted loop
31;51;1;Twinted loop
31;85;1;Twinted loop
31;131;0;Twinted loop
31;150;0;Twinted loop
31;203;1;Twinted loop
31;204;1;Twinted loop
32;31;1;Twinted loop
32;32;1;Twinted loop
32;49;1;Twinted loop
32;50;1;Twinted loop
32;84;1;Twinted loop
32;85;1;Twinted loop
32;141;0;Twinted loop
32;169;0;Twinted loop
32;204;1;Twinted loop
33;19;0;Twinted loop
33;31;1;Twinted loop
33;49;1;Twinted loop
33;84;1;Twinted loop
33;95;0;Twinted loop
33;96;0;Twinted loop
33;193;0;Twinted loop
34;30;1;Twinted loop
34;31;1;Twinted loop
34;48;1;Twinted loop
34;113;0;Twinted loop
34;123;0;Twinted loop
34;173;1;Twinted loop
34;174;1;Twinted loop
35;24;1;Twinted loop
35;30;1;Twinted loop
35;47;1;Twinted loop
35;48;1;Twinted loop
35;161;0;Twinted loop
35;174;1;Twinted loop
35;175;1;Twinted loop
35;199;0;Twinted loop
36;23;1;Twinted loop
36;24;1;Twinted loop
36;29;1;Twinted loop
36;30;1;Twinted loop
36;35;0;Twinted loop
36;47;1;Twinted loop
36;122;1;Twinted loop
36;175;1;Twinted loop
36;176;1;Twinted loop
37;23;1;Twinted loop
37;29;1;Twinted loop
37;47;0;Twinted loop
37;58;0;Twinted loop
37;69;0;Twinted loop
37;81;1;Twinted loop
37;121;1;Twinted loop
37;122;1;Twinted loop
37;200;0;Twinted loop
38;22;1;Twinted loop
38;23;1;Twinted loop
38;28;1;Twinted loop
38;29;1;Twinted loop
38;80;1;Twinted loop
38;81;1;Twinted loop
38;121;1;Twinted loop
39;22;1;Twinted loop
39;28;1;Twinted loop
39;57;0;Twinted loop
39;80;1;Twinted loop
39;139;0;Twinted loop
40;21;1;Twinted loop
40;22;1;Twinted loop
40;27;1;Twinted loop
40;28;1;Twinted loop
40;46;0;Twinted loop
40;120;0;Twinted loop
40;188;0;Twinted loop
40;195;0;Twinted loop
41;21;1;Twinted loop
41;27;1;Twinted loop
41;64;1;Twinted loop
42;26;1;Twinted loop
42;27;1;Twinted loop
42;63;1;Twinted loop
42;64;1;Twinted loop
42;91;0;Twinted loop
42;105;0;Twinted loop
42;132;0;Twinted loop
42;135;0;Twinted loop
42;197;1;Twinted loop
43;14;0;Twinted loop
43;26;1;Twinted loop
43;63;1;Twinted loop
43;162;0;Twinted loop
43;198;1;Twinted loop
44;25;1;Twinted loop
44;26;1;Twinted loop
44;171;1;Twinted loop
44;172;1;Twinted loop
45;24;1;Twinted loop
45;25;1;Twinted loop
45;31;0;Twinted loop
45;172;1;Twinted loop
45;173;1;Twinted loop
46;24;1;Twinted loop
46;30;1;Twinted loop
46;42;1;Twinted loop
46;43;1;Twinted loop
46;69;0;Twinted loop
46;178;0;Twinted loop
46;185;0;Twinted loop
46;186;1;Twinted loop
46;187;1;Twinted loop
46;201;0;Twinted loop
47;23;1;Twinted loop
47;24;1;Twinted loop
47;29;1;Twinted loop
47;30;1;Twinted loop
47;41;1;Twinted loop
47;42;1;Twinted loop
47;54;0;Twinted loop
47;85;0;Twinted loop
47;187;1;Twinted loop
47;188;1;Twinted loop
47;189;1;Twinted loop
48;23;1;Twinted loop
48;29;1;Twinted loop
48;40;0;Twinted loop
48;114;0;Twinted loop
48;189;1;Twinted loop
48;190;1;Twinted loop
49;22;1;Twinted loop
49;38;0;Twinted loop
49;53;0;Twinted loop
49;111;0;Twinted loop
49;127;1;Twinted loop
49;128;1;Twinted loop
49;133;0;Twinted loop
49;137;0;Twinted loop
49;138;1;Twinted loop
49;139;1;Twinted loop
49;190;1;Twinted loop
49;191;1;Twinted loop
50;21;1;Twinted loop
50;22;1;Twinted loop
50;37;0;Twinted loop
50;75;1;Twinted loop
50;84;1;Twinted loop
50;95;1;Twinted loop
50;96;1;Twinted loop
50;97;0;Twinted loop
50;126;1;Twinted loop
50;127;1;Twinted loop
50;139;1;Twinted loop
50;140;1;Twinted loop
51;15;0;Twinted loop
51;21;1;Twinted loop
51;27;1;Twinted loop
51;74;1;Twinted loop
51;75;1;Twinted loop
51;83;1;Twinted loop
51;84;1;Twinted loop
