Posisi X;Posisi Y;Type Minutiae;Nama Class
22;33;0;Tented arch
22;127;0;Tented arch
23;106;1;Tented arch
23;107;1;Tented arch
24;28;0;Tented arch
24;55;0;Tented arch
24;61;0;Tented arch
24;101;0;Tented arch
24;107;1;Tented arch
24;108;1;Tented arch
25;64;0;Tented arch
25;65;0;Tented arch
27;93;0;Tented arch
27;96;0;Tented arch
27;119;0;Tented arch
28;141;0;Tented arch
31;42;0;Tented arch
32;38;1;Tented arch
32;39;1;Tented arch
33;36;0;Tented arch
33;37;1;Tented arch
33;38;1;Tented arch
34;59;0;Tented arch
35;69;1;Tented arch
35;70;1;Tented arch
35;121;0;Tented arch
36;70;1;Tented arch
36;71;1;Tented arch
36;106;0;Tented arch
38;73;1;Tented arch
38;126;0;Tented arch
39;74;1;Tented arch
39;115;0;Tented arch
40;76;0;Tented arch
40;94;0;Tented arch
41;101;0;Tented arch
42;39;0;Tented arch
42;42;0;Tented arch
42;45;0;Tented arch
43;62;0;Tented arch
43;65;0;Tented arch
44;51;0;Tented arch
44;59;0;Tented arch
46;120;0;Tented arch
47;17;0;Tented arch
49;74;0;Tented arch
49;76;0;Tented arch
52;35;0;Tented arch
52;43;0;Tented arch
52;84;1;Tented arch
52;85;1;Tented arch
52;106;0;Tented arch
52;107;0;Tented arch
53;48;1;Tented arch
53;83;1;Tented arch
53;84;1;Tented arch
53;88;0;Tented arch
53;132;1;Tented arch
53;133;1;Tented arch
54;49;1;Tented arch
54;81;0;Tented arch
54;82;1;Tented arch
54;83;1;Tented arch
54;91;0;Tented arch
54;133;1;Tented arch
54;134;1;Tented arch
54;140;0;Tented arch
55;76;0;Tented arch
55;78;0;Tented arch
55;135;1;Tented arch
55;136;1;Tented arch
56;28;0;Tented arch
56;74;0;Tented arch
56;136;1;Tented arch
56;137;1;Tented arch
56;140;1;Tented arch
57;58;1;Tented arch
57;59;1;Tented arch
57;139;1;Tented arch
57;140;1;Tented arch
58;57;1;Tented arch
58;58;1;Tented arch
58;140;1;Tented arch
59;49;1;Tented arch
59;106;1;Tented arch
59;107;1;Tented arch
60;49;1;Tented arch
60;50;1;Tented arch
60;107;1;Tented arch
60;108;1;Tented arch
60;109;1;Tented arch
61;28;0;Tented arch
61;49;1;Tented arch
61;109;1;Tented arch
61;110;1;Tented arch
62;37;0;Tented arch
62;48;1;Tented arch
62;49;1;Tented arch
63;48;1;Tented arch
63;113;0;Tented arch
64;76;0;Tented arch
64;119;0;Tented arch
64;120;1;Tented arch
64;121;1;Tented arch
65;70;1;Tented arch
65;71;1;Tented arch
65;97;0;Tented arch
65;121;1;Tented arch
65;122;1;Tented arch
65;123;0;Tented arch
66;69;1;Tented arch
66;70;1;Tented arch
66;91;1;Tented arch
67;65;0;Tented arch
67;82;0;Tented arch
67;92;1;Tented arch
67;105;0;Tented arch
68;45;1;Tented arch
68;107;1;Tented arch
68;108;1;Tented arch
69;44;1;Tented arch
69;45;1;Tented arch
69;99;1;Tented arch
69;108;1;Tented arch
69;109;1;Tented arch
70;35;0;Tented arch
70;44;1;Tented arch
70;99;1;Tented arch
70;100;1;Tented arch
70;109;1;Tented arch
70;110;1;Tented arch
70;142;1;Tented arch
71;100;1;Tented arch
71;133;0;Tented arch
71;142;1;Tented arch
71;143;1;Tented arch
72;133;1;Tented arch
72;143;1;Tented arch
73;133;1;Tented arch
73;134;1;Tented arch
73;143;0;Tented arch
74;85;0;Tented arch
74;89;0;Tented arch
74;121;1;Tented arch
74;122;1;Tented arch
74;134;1;Tented arch
75;77;0;Tented arch
75;122;1;Tented arch
75;123;1;Tented arch
75;149;0;Tented arch
76;42;1;Tented arch
76;77;1;Tented arch
76;92;0;Tented arch
77;42;1;Tented arch
77;43;1;Tented arch
77;44;1;Tented arch
77;76;1;Tented arch
77;77;1;Tented arch
77;106;0;Tented arch
78;29;0;Tented arch
78;41;1;Tented arch
78;42;1;Tented arch
78;43;1;Tented arch
78;77;1;Tented arch
78;126;1;Tented arch
78;136;1;Tented arch
79;28;1;Tented arch
79;39;1;Tented arch
79;40;1;Tented arch
79;43;1;Tented arch
79;108;1;Tented arch
79;126;1;Tented arch
79;127;1;Tented arch
79;136;1;Tented arch
79;137;1;Tented arch
80;27;1;Tented arch
80;28;1;Tented arch
80;38;1;Tented arch
80;39;1;Tented arch
80;84;1;Tented arch
80;108;1;Tented arch
80;109;1;Tented arch
80;127;1;Tented arch
80;137;1;Tented arch
81;27;1;Tented arch
81;37;1;Tented arch
81;38;1;Tented arch
81;85;1;Tented arch
81;109;1;Tented arch
81;128;1;Tented arch
81;137;1;Tented arch
81;138;1;Tented arch
82;37;1;Tented arch
82;100;0;Tented arch
82;128;1;Tented arch
82;129;1;Tented arch
82;138;1;Tented arch
83;36;1;Tented arch
83;89;1;Tented arch
83;90;1;Tented arch
83;129;1;Tented arch
84;35;1;Tented arch
84;36;1;Tented arch
84;90;1;Tented arch
84;91;1;Tented arch
84;119;0;Tented arch
85;26;1;Tented arch
85;34;1;Tented arch
85;35;1;Tented arch
85;41;0;Tented arch
85;91;1;Tented arch
85;92;1;Tented arch
86;25;1;Tented arch
86;26;1;Tented arch
86;34;1;Tented arch
86;65;0;Tented arch
86;81;1;Tented arch
86;92;1;Tented arch
86;93;1;Tented arch
86;150;0;Tented arch
87;25;1;Tented arch
87;33;1;Tented arch
87;34;1;Tented arch
87;48;0;Tented arch
87;49;1;Tented arch
87;55;1;Tented arch
87;56;1;Tented arch
87;82;1;Tented arch
87;93;1;Tented arch
87;129;0;Tented arch
88;33;1;Tented arch
88;50;1;Tented arch
88;54;1;Tented arch
88;55;1;Tented arch
88;73;1;Tented arch
88;74;1;Tented arch
89;32;1;Tented arch
89;33;1;Tented arch
89;51;1;Tented arch
89;72;1;Tented arch
89;73;1;Tented arch
89;86;0;Tented arch
89;95;1;Tented arch
90;32;1;Tented arch
90;71;1;Tented arch
90;95;1;Tented arch
90;96;1;Tented arch
91;70;1;Tented arch
91;71;1;Tented arch
91;96;1;Tented arch
92;69;1;Tented arch
92;70;1;Tented arch
92;97;1;Tented arch
93;68;1;Tented arch
93;69;1;Tented arch
93;96;1;Tented arch
93;97;1;Tented arch
93;98;1;Tented arch
93;99;1;Tented arch
93;108;0;Tented arch
94;67;1;Tented arch
94;68;1;Tented arch
94;96;1;Tented arch
94;99;1;Tented arch
94;100;1;Tented arch
95;100;1;Tented arch
96;62;1;Tented arch
97;16;0;Tented arch
97;55;1;Tented arch
97;56;1;Tented arch
97;61;1;Tented arch
97;62;1;Tented arch
97;84;0;Tented arch
98;33;0;Tented arch
98;54;1;Tented arch
98;55;1;Tented arch
98;61;1;Tented arch
98;91;1;Tented arch
98;146;0;Tented arch
99;90;1;Tented arch
99;115;0;Tented arch
99;126;0;Tented arch
99;139;0;Tented arch
100;51;1;Tented arch
100;80;1;Tented arch
101;50;1;Tented arch
101;51;1;Tented arch
101;79;1;Tented arch
101;80;1;Tented arch
101;134;0;Tented arch
101;146;0;Tented arch
102;48;1;Tented arch
102;49;1;Tented arch
102;50;1;Tented arch
102;60;1;Tented arch
102;79;1;Tented arch
102;89;0;Tented arch
103;22;0;Tented arch
103;27;1;Tented arch
103;36;0;Tented arch
103;47;1;Tented arch
103;48;1;Tented arch
103;59;1;Tented arch
103;60;1;Tented arch
103;140;0;Tented arch
104;27;1;Tented arch
104;28;1;Tented arch
104;46;1;Tented arch
104;47;1;Tented arch
104;59;1;Tented arch
104;133;0;Tented arch
105;22;1;Tented arch
105;28;1;Tented arch
105;69;0;Tented arch
105;78;0;Tented arch
106;22;1;Tented arch
106;23;1;Tented arch
106;28;1;Tented arch
106;29;1;Tented arch
106;68;0;Tented arch
107;23;1;Tented arch
107;29;1;Tented arch
107;93;1;Tented arch
108;30;1;Tented arch
108;31;1;Tented arch
108;92;1;Tented arch
108;93;1;Tented arch
108;140;1;Tented arch
109;31;1;Tented arch
109;32;1;Tented arch
109;91;1;Tented arch
109;92;1;Tented arch
109;140;1;Tented arch
109;141;1;Tented arch
110;24;0;Tented arch
110;32;1;Tented arch
110;33;1;Tented arch
110;73;0;Tented arch
110;91;1;Tented arch
110;128;0;Tented arch
110;139;0;Tented arch
111;72;1;Tented arch
112;16;0;Tented arch
112;71;1;Tented arch
112;72;1;Tented arch
112;82;0;Tented arch
113;71;1;Tented arch
113;81;1;Tented arch
113;89;0;Tented arch
113;146;0;Tented arch
114;80;1;Tented arch
114;81;1;Tented arch
115;35;1;Tented arch
115;54;1;Tented arch
115;55;1;Tented arch
115;79;1;Tented arch
115;80;1;Tented arch
115;99;1;Tented arch
115;100;1;Tented arch
116;36;1;Tented arch
116;53;1;Tented arch
116;54;1;Tented arch
116;79;1;Tented arch
116;98;1;Tented arch
116;99;1;Tented arch
116;120;0;Tented arch
116;126;0;Tented arch
116;133;1;Tented arch
116;134;1;Tented arch
117;52;1;Tented arch
117;53;1;Tented arch
117;134;1;Tented arch
117;135;1;Tented arch
117;137;0;Tented arch
118;65;0;Tented arch
118;95;1;Tented arch
118;96;1;Tented arch
118;156;0;Tented arch
119;76;1;Tented arch
119;94;1;Tented arch
119;95;1;Tented arch
120;75;1;Tented arch
120;76;1;Tented arch
120;94;1;Tented arch
121;75;1;Tented arch
122;145;0;Tented arch
123;81;1;Tented arch
123;82;1;Tented arch
123;94;1;Tented arch
123;146;1;Tented arch
124;80;1;Tented arch
124;81;1;Tented arch
124;93;1;Tented arch
124;146;1;Tented arch
124;147;1;Tented arch
124;149;0;Tented arch
125;79;1;Tented arch
125;80;1;Tented arch
125;109;1;Tented arch
125;110;1;Tented arch
125;146;1;Tented arch
126;78;1;Tented arch
126;79;1;Tented arch
126;97;0;Tented arch
126;108;1;Tented arch
126;109;1;Tented arch
126;132;1;Tented arch
126;145;1;Tented arch
127;78;1;Tented arch
127;108;1;Tented arch
127;133;1;Tented arch
127;144;1;Tented arch
128;20;0;Tented arch
128;77;0;Tented arch
128;127;0;Tented arch
130;107;1;Tented arch
131;62;0;Tented arch
131;71;1;Tented arch
131;105;1;Tented arch
131;106;1;Tented arch
132;70;1;Tented arch
132;71;1;Tented arch
132;104;1;Tented arch
132;105;1;Tented arch
133;51;0;Tented arch
133;69;1;Tented arch
133;70;1;Tented arch
133;102;1;Tented arch
133;103;1;Tented arch
133;104;1;Tented arch
