Posisi X;Posisi Y;Type Minutiae;Nama Class
22;69;0;Plain Arch
23;71;0;Plain Arch
23;81;0;Plain Arch
23;82;0;Plain Arch
42;129;0;Plain Arch
58;132;1;Plain Arch
59;132;1;Plain Arch
59;133;1;Plain Arch
60;133;1;Plain Arch
62;133;1;Plain Arch
63;133;1;Plain Arch
63;134;1;Plain Arch
64;134;1;Plain Arch
88;81;0;Plain Arch
91;80;0;Plain Arch
151;83;0;Plain Arch
151;84;0;Plain Arch
152;135;0;Plain Arch
164;132;0;Plain Arch
168;125;0;Plain Arch
169;125;1;Plain Arch
170;124;1;Plain Arch
170;125;1;Plain Arch
171;124;1;Plain Arch
172;124;0;Plain Arch
175;130;0;Plain Arch
194;60;0;Plain Arch
194;61;0;Plain Arch
195;64;0;Plain Arch
195;67;0;Plain Arch
197;73;0;Plain Arch
197;75;0;Plain Arch
200;109;0;Plain Arch
200;110;0;Plain Arch
202;93;0;Plain Arch
202;94;0;Plain Arch
203;50;0;Plain Arch
203;52;0;Plain Arch
204;58;0;Plain Arch
204;69;1;Plain Arch
204;70;1;Plain Arch
205;70;1;Plain Arch
205;71;1;Plain Arch
205;83;0;Plain Arch
211;86;0;Plain Arch
211;88;0;Plain Arch
215;53;0;Plain Arch
215;59;0;Plain Arch
