Posisi X;Posisi Y;Type Minutiae;Nama Class
18;53;0;Leteral pocket loop
18;61;0;Leteral pocket loop
18;78;0;Leteral pocket loop
18;95;0;Leteral pocket loop
19;85;0;Leteral pocket loop
19;117;0;Leteral pocket loop
21;51;1;Leteral pocket loop
21;59;1;Leteral pocket loop
21;76;0;Leteral pocket loop
22;50;1;Leteral pocket loop
22;51;1;Leteral pocket loop
22;58;1;Leteral pocket loop
22;59;1;Leteral pocket loop
22;65;1;Leteral pocket loop
22;66;1;Leteral pocket loop
22;67;0;Leteral pocket loop
22;164;0;Leteral pocket loop
23;49;1;Leteral pocket loop
23;50;1;Leteral pocket loop
23;58;1;Leteral pocket loop
23;64;1;Leteral pocket loop
23;65;1;Leteral pocket loop
23;110;0;Leteral pocket loop
24;49;1;Leteral pocket loop
24;57;1;Leteral pocket loop
24;64;1;Leteral pocket loop
24;168;1;Leteral pocket loop
24;169;1;Leteral pocket loop
25;56;1;Leteral pocket loop
25;57;1;Leteral pocket loop
25;63;0;Leteral pocket loop
25;111;0;Leteral pocket loop
25;169;1;Leteral pocket loop
25;170;1;Leteral pocket loop
25;181;0;Leteral pocket loop
26;55;1;Leteral pocket loop
26;56;1;Leteral pocket loop
26;85;0;Leteral pocket loop
26;170;1;Leteral pocket loop
27;54;1;Leteral pocket loop
27;55;1;Leteral pocket loop
27;118;1;Leteral pocket loop
27;183;0;Leteral pocket loop
28;46;1;Leteral pocket loop
28;53;1;Leteral pocket loop
28;54;1;Leteral pocket loop
28;76;0;Leteral pocket loop
28;118;1;Leteral pocket loop
28;119;1;Leteral pocket loop
29;45;1;Leteral pocket loop
29;46;1;Leteral pocket loop
29;53;1;Leteral pocket loop
29;119;1;Leteral pocket loop
29;173;0;Leteral pocket loop
30;45;1;Leteral pocket loop
30;52;1;Leteral pocket loop
31;44;1;Leteral pocket loop
31;51;1;Leteral pocket loop
31;52;1;Leteral pocket loop
31;121;0;Leteral pocket loop
32;43;1;Leteral pocket loop
32;44;1;Leteral pocket loop
32;51;1;Leteral pocket loop
32;80;0;Leteral pocket loop
32;128;0;Leteral pocket loop
33;43;1;Leteral pocket loop
33;50;1;Leteral pocket loop
33;51;1;Leteral pocket loop
33;131;0;Leteral pocket loop
33;157;0;Leteral pocket loop
33;177;0;Leteral pocket loop
34;42;1;Leteral pocket loop
34;49;1;Leteral pocket loop
34;50;1;Leteral pocket loop
34;57;0;Leteral pocket loop
35;41;1;Leteral pocket loop
35;42;1;Leteral pocket loop
35;49;1;Leteral pocket loop
35;56;1;Leteral pocket loop
36;40;1;Leteral pocket loop
36;41;1;Leteral pocket loop
36;48;1;Leteral pocket loop
36;49;1;Leteral pocket loop
36;55;1;Leteral pocket loop
36;56;1;Leteral pocket loop
36;66;0;Leteral pocket loop
36;88;0;Leteral pocket loop
36;89;0;Leteral pocket loop
36;161;0;Leteral pocket loop
36;180;0;Leteral pocket loop
37;40;1;Leteral pocket loop
37;48;1;Leteral pocket loop
37;54;1;Leteral pocket loop
37;55;1;Leteral pocket loop
37;64;1;Leteral pocket loop
37;65;1;Leteral pocket loop
37;72;0;Leteral pocket loop
37;85;0;Leteral pocket loop
37;86;0;Leteral pocket loop
37;163;0;Leteral pocket loop
38;47;1;Leteral pocket loop
38;48;1;Leteral pocket loop
38;54;1;Leteral pocket loop
38;63;1;Leteral pocket loop
38;64;1;Leteral pocket loop
38;83;0;Leteral pocket loop
38;164;0;Leteral pocket loop
39;47;1;Leteral pocket loop
39;53;1;Leteral pocket loop
39;54;1;Leteral pocket loop
39;62;1;Leteral pocket loop
39;63;1;Leteral pocket loop
40;38;0;Leteral pocket loop
40;53;1;Leteral pocket loop
40;62;1;Leteral pocket loop
40;79;0;Leteral pocket loop
40;168;0;Leteral pocket loop
41;61;0;Leteral pocket loop
41;169;0;Leteral pocket loop
42;45;0;Leteral pocket loop
42;52;1;Leteral pocket loop
43;51;1;Leteral pocket loop
43;52;1;Leteral pocket loop
43;90;0;Leteral pocket loop
44;51;1;Leteral pocket loop
44;173;0;Leteral pocket loop
45;50;0;Leteral pocket loop
45;86;1;Leteral pocket loop
45;87;1;Leteral pocket loop
45;174;1;Leteral pocket loop
46;85;1;Leteral pocket loop
46;86;1;Leteral pocket loop
46;175;1;Leteral pocket loop
47;83;1;Leteral pocket loop
47;84;1;Leteral pocket loop
47;184;0;Leteral pocket loop
48;82;1;Leteral pocket loop
48;83;1;Leteral pocket loop
48;176;0;Leteral pocket loop
49;81;0;Leteral pocket loop
49;155;0;Leteral pocket loop
49;186;0;Leteral pocket loop
50;156;0;Leteral pocket loop
51;34;0;Leteral pocket loop
53;33;0;Leteral pocket loop
53;49;0;Leteral pocket loop
54;117;0;Leteral pocket loop
54;165;0;Leteral pocket loop
54;166;0;Leteral pocket loop
55;119;1;Leteral pocket loop
56;47;1;Leteral pocket loop
56;119;1;Leteral pocket loop
56;120;1;Leteral pocket loop
57;46;1;Leteral pocket loop
57;47;1;Leteral pocket loop
57;120;1;Leteral pocket loop
57;121;1;Leteral pocket loop
57;187;0;Leteral pocket loop
58;40;0;Leteral pocket loop
58;46;1;Leteral pocket loop
59;39;0;Leteral pocket loop
59;125;0;Leteral pocket loop
60;45;0;Leteral pocket loop
60;187;0;Leteral pocket loop
63;166;0;Leteral pocket loop
64;166;0;Leteral pocket loop
68;137;0;Leteral pocket loop
70;31;0;Leteral pocket loop
70;140;1;Leteral pocket loop
70;141;1;Leteral pocket loop
70;189;0;Leteral pocket loop
71;141;1;Leteral pocket loop
71;142;1;Leteral pocket loop
72;142;1;Leteral pocket loop
72;143;1;Leteral pocket loop
73;30;0;Leteral pocket loop
73;36;0;Leteral pocket loop
73;42;0;Leteral pocket loop
73;145;0;Leteral pocket loop
74;191;0;Leteral pocket loop
76;34;0;Leteral pocket loop
77;40;0;Leteral pocket loop
78;33;0;Leteral pocket loop
84;30;0;Leteral pocket loop
87;196;0;Leteral pocket loop
90;43;0;Leteral pocket loop
91;136;0;Leteral pocket loop
92;30;0;Leteral pocket loop
92;139;0;Leteral pocket loop
93;197;0;Leteral pocket loop
95;28;0;Leteral pocket loop
96;40;0;Leteral pocket loop
97;67;0;Leteral pocket loop
97;166;1;Leteral pocket loop
97;167;1;Leteral pocket loop
97;169;0;Leteral pocket loop
98;68;1;Leteral pocket loop
98;162;0;Leteral pocket loop
98;165;1;Leteral pocket loop
98;166;1;Leteral pocket loop
99;68;1;Leteral pocket loop
99;69;1;Leteral pocket loop
100;69;1;Leteral pocket loop
100;70;1;Leteral pocket loop
101;70;1;Leteral pocket loop
102;29;0;Leteral pocket loop
102;70;1;Leteral pocket loop
102;71;1;Leteral pocket loop
102;142;0;Leteral pocket loop
102;199;0;Leteral pocket loop
103;38;0;Leteral pocket loop
103;71;1;Leteral pocket loop
103;79;0;Leteral pocket loop
103;146;0;Leteral pocket loop
104;28;0;Leteral pocket loop
105;72;0;Leteral pocket loop
105;80;0;Leteral pocket loop
108;31;0;Leteral pocket loop
109;31;1;Leteral pocket loop
110;30;1;Leteral pocket loop
110;31;1;Leteral pocket loop
110;36;0;Leteral pocket loop
110;199;0;Leteral pocket loop
111;30;1;Leteral pocket loop
112;29;1;Leteral pocket loop
112;30;1;Leteral pocket loop
113;29;1;Leteral pocket loop
115;28;1;Leteral pocket loop
115;34;0;Leteral pocket loop
116;27;1;Leteral pocket loop
116;28;1;Leteral pocket loop
117;27;1;Leteral pocket loop
118;27;0;Leteral pocket loop
119;95;0;Leteral pocket loop
119;99;0;Leteral pocket loop
120;32;0;Leteral pocket loop
124;41;0;Leteral pocket loop
125;41;0;Leteral pocket loop
129;32;0;Leteral pocket loop
131;38;0;Leteral pocket loop
132;31;0;Leteral pocket loop
132;163;0;Leteral pocket loop
134;38;0;Leteral pocket loop
135;149;0;Leteral pocket loop
135;161;0;Leteral pocket loop
138;181;0;Leteral pocket loop
138;182;0;Leteral pocket loop
139;149;0;Leteral pocket loop
140;188;0;Leteral pocket loop
142;187;1;Leteral pocket loop
143;186;1;Leteral pocket loop
143;187;1;Leteral pocket loop
144;186;1;Leteral pocket loop
145;69;0;Leteral pocket loop
145;70;0;Leteral pocket loop
145;211;0;Leteral pocket loop
146;58;0;Leteral pocket loop
146;63;0;Leteral pocket loop
148;186;1;Leteral pocket loop
149;183;0;Leteral pocket loop
149;185;1;Leteral pocket loop
152;212;0;Leteral pocket loop
155;52;0;Leteral pocket loop
155;57;0;Leteral pocket loop
156;59;0;Leteral pocket loop
156;67;0;Leteral pocket loop
156;77;0;Leteral pocket loop
156;82;0;Leteral pocket loop
157;163;0;Leteral pocket loop
157;166;0;Leteral pocket loop
158;187;0;Leteral pocket loop
158;191;0;Leteral pocket loop
159;211;0;Leteral pocket loop
164;37;0;Leteral pocket loop
164;212;0;Leteral pocket loop
165;40;0;Leteral pocket loop
165;57;0;Leteral pocket loop
166;64;1;Leteral pocket loop
166;65;1;Leteral pocket loop
167;65;1;Leteral pocket loop
167;66;1;Leteral pocket loop
167;67;0;Leteral pocket loop
173;212;0;Leteral pocket loop
175;185;1;Leteral pocket loop
175;186;1;Leteral pocket loop
175;187;0;Leteral pocket loop
175;211;0;Leteral pocket loop
176;184;1;Leteral pocket loop
176;185;1;Leteral pocket loop
178;181;0;Leteral pocket loop
185;210;0;Leteral pocket loop
186;83;0;Leteral pocket loop
186;86;0;Leteral pocket loop
187;69;0;Leteral pocket loop
190;69;0;Leteral pocket loop
192;208;0;Leteral pocket loop
199;194;0;Leteral pocket loop
200;193;0;Leteral pocket loop
201;190;0;Leteral pocket loop
201;191;0;Leteral pocket loop
202;184;0;Leteral pocket loop
202;186;0;Leteral pocket loop
202;201;0;Leteral pocket loop
203;153;0;Leteral pocket loop
203;155;0;Leteral pocket loop
203;169;1;Leteral pocket loop
203;170;1;Leteral pocket loop
203;172;0;Leteral pocket loop
203;181;0;Leteral pocket loop
203;182;0;Leteral pocket loop
204;144;0;Leteral pocket loop
204;151;0;Leteral pocket loop
204;165;0;Leteral pocket loop
204;168;1;Leteral pocket loop
204;169;1;Leteral pocket loop
205;136;0;Leteral pocket loop
205;142;0;Leteral pocket loop
205;160;0;Leteral pocket loop
205;163;0;Leteral pocket loop
205;197;1;Leteral pocket loop
205;198;1;Leteral pocket loop
206;196;1;Leteral pocket loop
206;197;1;Leteral pocket loop
207;194;1;Leteral pocket loop
207;195;1;Leteral pocket loop
207;196;1;Leteral pocket loop
208;191;1;Leteral pocket loop
208;192;1;Leteral pocket loop
208;193;1;Leteral pocket loop
208;194;1;Leteral pocket loop
209;190;1;Leteral pocket loop
209;191;1;Leteral pocket loop
212;182;1;Leteral pocket loop
212;183;1;Leteral pocket loop
213;133;0;Leteral pocket loop
213;136;0;Leteral pocket loop
213;180;1;Leteral pocket loop
213;181;1;Leteral pocket loop
213;182;1;Leteral pocket loop
214;33;0;Leteral pocket loop
214;38;0;Leteral pocket loop
214;179;1;Leteral pocket loop
214;180;1;Leteral pocket loop
215;40;0;Leteral pocket loop
215;42;0;Leteral pocket loop
215;54;0;Leteral pocket loop
