Posisi X;Posisi Y;Type Minutiae;Nama Class
22;41;0;Plain Arch
22;81;0;Plain Arch
22;84;1;Plain Arch
22;85;1;Plain Arch
22;98;0;Plain Arch
22;107;0;Plain Arch
23;38;1;Plain Arch
23;39;1;Plain Arch
23;85;1;Plain Arch
23;86;1;Plain Arch
23;99;0;Plain Arch
24;37;1;Plain Arch
24;38;1;Plain Arch
24;89;0;Plain Arch
25;91;0;Plain Arch
25;119;0;Plain Arch
26;35;0;Plain Arch
26;93;1;Plain Arch
26;94;1;Plain Arch
26;101;0;Plain Arch
26;119;1;Plain Arch
27;94;1;Plain Arch
27;95;1;Plain Arch
27;96;1;Plain Arch
27;119;1;Plain Arch
27;120;1;Plain Arch
28;96;1;Plain Arch
28;97;1;Plain Arch
28;120;1;Plain Arch
28;121;1;Plain Arch
29;97;1;Plain Arch
29;98;1;Plain Arch
29;106;0;Plain Arch
29;121;1;Plain Arch
30;40;0;Plain Arch
30;98;1;Plain Arch
30;99;1;Plain Arch
30;122;1;Plain Arch
31;25;0;Plain Arch
31;90;0;Plain Arch
31;122;1;Plain Arch
31;123;1;Plain Arch
32;37;0;Plain Arch
32;49;0;Plain Arch
32;91;0;Plain Arch
32;110;0;Plain Arch
32;123;1;Plain Arch
32;124;1;Plain Arch
33;24;0;Plain Arch
33;93;0;Plain Arch
33;111;1;Plain Arch
33;112;1;Plain Arch
33;116;1;Plain Arch
33;124;1;Plain Arch
33;125;1;Plain Arch
34;104;0;Plain Arch
34;112;1;Plain Arch
34;113;1;Plain Arch
34;115;1;Plain Arch
34;116;1;Plain Arch
34;125;1;Plain Arch
35;44;0;Plain Arch
35;58;0;Plain Arch
35;59;0;Plain Arch
35;96;1;Plain Arch
35;97;1;Plain Arch
35;126;0;Plain Arch
36;42;0;Plain Arch
36;56;0;Plain Arch
36;97;1;Plain Arch
36;98;1;Plain Arch
36;117;1;Plain Arch
37;52;1;Plain Arch
37;53;1;Plain Arch
37;71;0;Plain Arch
37;73;0;Plain Arch
37;99;1;Plain Arch
37;100;1;Plain Arch
37;116;1;Plain Arch
37;117;1;Plain Arch
37;118;1;Plain Arch
38;38;1;Plain Arch
38;39;1;Plain Arch
38;50;1;Plain Arch
38;51;1;Plain Arch
38;52;1;Plain Arch
38;100;1;Plain Arch
38;101;1;Plain Arch
38;116;1;Plain Arch
39;36;1;Plain Arch
39;37;1;Plain Arch
39;38;1;Plain Arch
39;48;1;Plain Arch
39;49;1;Plain Arch
39;50;1;Plain Arch
40;35;1;Plain Arch
40;36;1;Plain Arch
40;47;1;Plain Arch
40;48;1;Plain Arch
40;104;1;Plain Arch
40;105;1;Plain Arch
41;46;1;Plain Arch
41;47;1;Plain Arch
41;88;0;Plain Arch
41;105;1;Plain Arch
41;106;1;Plain Arch
41;122;1;Plain Arch
42;33;0;Plain Arch
42;44;0;Plain Arch
42;90;1;Plain Arch
42;91;1;Plain Arch
42;107;1;Plain Arch
42;108;1;Plain Arch
42;122;1;Plain Arch
