Posisi X;Posisi Y;Type Minutiae;Nama Class
19;111;0;Radial loop
19;170;0;Radial loop
20;101;0;Radial loop
20;151;0;Radial loop
20;171;0;Radial loop
21;116;0;Radial loop
21;124;0;Radial loop
23;93;0;Radial loop
23;136;0;Radial loop
25;156;0;Radial loop
26;92;0;Radial loop
26;129;0;Radial loop
26;158;0;Radial loop
28;137;0;Radial loop
28;160;0;Radial loop
30;100;0;Radial loop
30;125;0;Radial loop
32;129;0;Radial loop
33;112;0;Radial loop
36;118;0;Radial loop
36;166;0;Radial loop
37;167;0;Radial loop
40;104;0;Radial loop
41;104;1;Radial loop
41;153;0;Radial loop
41;180;0;Radial loop
42;91;0;Radial loop
42;104;1;Radial loop
42;105;1;Radial loop
43;105;1;Radial loop
43;183;0;Radial loop
44;90;0;Radial loop
45;157;0;Radial loop
46;171;0;Radial loop
47;109;0;Radial loop
50;125;0;Radial loop
54;180;0;Radial loop
55;112;0;Radial loop
55;127;0;Radial loop
57;113;0;Radial loop
59;147;0;Radial loop
61;149;0;Radial loop
62;88;0;Radial loop
63;88;0;Radial loop
63;155;0;Radial loop
64;156;0;Radial loop
65;119;0;Radial loop
66;111;0;Radial loop
66;119;1;Radial loop
67;119;1;Radial loop
67;120;1;Radial loop
68;120;1;Radial loop
71;122;0;Radial loop
73;145;0;Radial loop
74;95;0;Radial loop
74;127;0;Radial loop
74;128;1;Radial loop
74;129;1;Radial loop
75;129;1;Radial loop
75;130;1;Radial loop
75;131;1;Radial loop
76;95;0;Radial loop
76;131;1;Radial loop
76;132;1;Radial loop
76;133;1;Radial loop
77;117;0;Radial loop
77;133;1;Radial loop
77;134;1;Radial loop
78;148;1;Radial loop
79;148;1;Radial loop
79;149;1;Radial loop
80;149;1;Radial loop
81;86;0;Radial loop
81;138;0;Radial loop
83;124;0;Radial loop
83;170;0;Radial loop
84;188;0;Radial loop
85;85;0;Radial loop
86;127;0;Radial loop
86;164;0;Radial loop
89;100;0;Radial loop
89;148;0;Radial loop
90;184;1;Radial loop
90;185;1;Radial loop
91;183;1;Radial loop
91;184;1;Radial loop
92;149;0;Radial loop
92;159;0;Radial loop
92;181;1;Radial loop
92;182;1;Radial loop
93;180;1;Radial loop
93;181;1;Radial loop
94;179;1;Radial loop
94;180;1;Radial loop
95;178;1;Radial loop
95;179;1;Radial loop
96;177;0;Radial loop
98;139;0;Radial loop
98;203;0;Radial loop
99;99;0;Radial loop
99;159;0;Radial loop
100;140;0;Radial loop
100;203;0;Radial loop
101;120;0;Radial loop
102;120;0;Radial loop
102;162;0;Radial loop
107;156;0;Radial loop
108;158;0;Radial loop
112;164;0;Radial loop
112;169;0;Radial loop
115;197;0;Radial loop
116;131;0;Radial loop
116;196;0;Radial loop
118;131;0;Radial loop
120;177;0;Radial loop
121;57;0;Radial loop
121;176;0;Radial loop
122;57;0;Radial loop
125;89;0;Radial loop
131;88;0;Radial loop
136;138;0;Radial loop
136;168;0;Radial loop
137;167;0;Radial loop
138;165;0;Radial loop
138;208;0;Radial loop
139;164;0;Radial loop
140;173;0;Radial loop
141;171;1;Radial loop
141;172;1;Radial loop
141;207;0;Radial loop
142;75;0;Radial loop
142;170;1;Radial loop
142;171;1;Radial loop
143;74;0;Radial loop
143;106;0;Radial loop
143;130;1;Radial loop
143;168;1;Radial loop
143;169;1;Radial loop
144;103;0;Radial loop
144;129;1;Radial loop
144;130;1;Radial loop
144;167;1;Radial loop
144;168;1;Radial loop
145;129;1;Radial loop
146;129;0;Radial loop
146;141;1;Radial loop
146;142;1;Radial loop
146;143;0;Radial loop
146;163;1;Radial loop
146;164;1;Radial loop
147;139;1;Radial loop
147;140;1;Radial loop
147;141;1;Radial loop
147;162;1;Radial loop
147;163;1;Radial loop
148;138;1;Radial loop
148;139;1;Radial loop
148;160;1;Radial loop
148;161;1;Radial loop
149;136;1;Radial loop
149;137;1;Radial loop
149;138;1;Radial loop
149;158;1;Radial loop
149;159;1;Radial loop
149;160;1;Radial loop
150;135;1;Radial loop
150;136;1;Radial loop
150;150;0;Radial loop
150;157;1;Radial loop
150;158;1;Radial loop
150;169;0;Radial loop
151;133;1;Radial loop
151;134;1;Radial loop
151;147;1;Radial loop
151;148;1;Radial loop
151;155;0;Radial loop
151;156;1;Radial loop
151;157;1;Radial loop
151;167;1;Radial loop
151;168;1;Radial loop
