Posisi X;Posisi Y;Type Minutiae;Nama Class
36;52;0;Accidental
39;45;1;Accidental
39;46;1;Accidental
39;117;0;Accidental
39;119;0;Accidental
40;44;1;Accidental
40;45;1;Accidental
40;122;0;Accidental
40;125;0;Accidental
41;42;1;Accidental
41;43;1;Accidental
41;128;0;Accidental
41;130;0;Accidental
42;41;1;Accidental
42;42;1;Accidental
42;133;0;Accidental
42;134;0;Accidental
43;39;1;Accidental
43;40;1;Accidental
43;137;0;Accidental
44;38;1;Accidental
44;39;1;Accidental
46;114;0;Accidental
46;119;0;Accidental
46;143;0;Accidental
47;34;0;Accidental
47;44;0;Accidental
47;54;0;Accidental
47;122;0;Accidental
47;124;0;Accidental
48;32;0;Accidental
48;43;0;Accidental
48;53;0;Accidental
48;127;0;Accidental
49;31;0;Accidental
49;41;0;Accidental
50;40;0;Accidental
51;38;0;Accidental
52;37;0;Accidental
52;46;0;Accidental
54;33;0;Accidental
54;44;0;Accidental
55;42;0;Accidental
56;29;1;Accidental
56;30;1;Accidental
56;41;0;Accidental
57;28;1;Accidental
57;29;1;Accidental
57;39;0;Accidental
57;150;0;Accidental
58;26;1;Accidental
58;27;1;Accidental
58;38;0;Accidental
59;25;1;Accidental
59;26;1;Accidental
59;36;0;Accidental
60;24;0;Accidental
60;35;0;Accidental
63;30;0;Accidental
64;108;0;Accidental
64;110;0;Accidental
65;27;0;Accidental
65;37;0;Accidental
66;25;0;Accidental
66;36;0;Accidental
67;34;0;Accidental
68;22;0;Accidental
68;33;0;Accidental
68;123;0;Accidental
68;124;0;Accidental
68;150;0;Accidental
69;31;0;Accidental
69;154;0;Accidental
70;30;0;Accidental
70;39;0;Accidental
70;97;0;Accidental
70;100;0;Accidental
70;109;0;Accidental
70;110;0;Accidental
70;128;0;Accidental
71;28;0;Accidental
71;38;0;Accidental
71;130;0;Accidental
72;27;0;Accidental
73;25;0;Accidental
73;35;0;Accidental
74;24;0;Accidental
74;34;0;Accidental
74;48;0;Accidental
75;47;0;Accidental
76;20;0;Accidental
76;98;0;Accidental
76;100;0;Accidental
76;109;0;Accidental
76;110;0;Accidental
78;17;0;Accidental
79;26;0;Accidental
79;146;0;Accidental
80;34;0;Accidental
81;150;0;Accidental
82;152;0;Accidental
83;30;1;Accidental
83;31;1;Accidental
83;155;0;Accidental
84;29;1;Accidental
84;30;1;Accidental
84;157;0;Accidental
85;28;1;Accidental
85;29;1;Accidental
85;159;0;Accidental
86;27;1;Accidental
86;28;1;Accidental
87;18;0;Accidental
88;150;0;Accidental
89;141;0;Accidental
90;23;0;Accidental
90;31;0;Accidental
90;142;0;Accidental
90;154;1;Accidental
90;155;1;Accidental
91;144;0;Accidental
91;155;1;Accidental
91;156;1;Accidental
91;157;1;Accidental
92;124;0;Accidental
92;145;0;Accidental
92;157;1;Accidental
92;158;1;Accidental
93;125;0;Accidental
94;116;0;Accidental
94;127;0;Accidental
94;149;0;Accidental
94;161;0;Accidental
