Posisi X;Posisi Y;Type Minutiae;Nama Class
18;61;0;Plain Arch
18;70;0;Plain Arch
18;127;0;Plain Arch
18;136;0;Plain Arch
18;146;0;Plain Arch
19;60;0;Plain Arch
19;161;0;Plain Arch
20;58;0;Plain Arch
20;67;0;Plain Arch
20;149;0;Plain Arch
21;48;0;Plain Arch
21;65;0;Plain Arch
22;55;1;Plain Arch
22;56;1;Plain Arch
23;54;1;Plain Arch
23;55;1;Plain Arch
23;63;0;Plain Arch
23;99;0;Plain Arch
23;100;0;Plain Arch
23;143;0;Plain Arch
24;45;0;Plain Arch
24;53;1;Plain Arch
24;54;1;Plain Arch
24;103;0;Plain Arch
24;105;0;Plain Arch
24;145;0;Plain Arch
24;156;0;Plain Arch
25;52;1;Plain Arch
25;53;1;Plain Arch
25;136;0;Plain Arch
25;157;0;Plain Arch
26;51;1;Plain Arch
26;52;1;Plain Arch
26;138;0;Plain Arch
27;50;1;Plain Arch
27;51;1;Plain Arch
27;139;0;Plain Arch
27;149;1;Plain Arch
27;150;1;Plain Arch
28;49;1;Plain Arch
28;50;1;Plain Arch
28;90;0;Plain Arch
28;93;0;Plain Arch
28;141;0;Plain Arch
28;150;1;Plain Arch
28;151;1;Plain Arch
29;85;0;Plain Arch
29;88;0;Plain Arch
29;133;0;Plain Arch
30;46;1;Plain Arch
30;47;1;Plain Arch
30;70;0;Plain Arch
30;125;0;Plain Arch
30;134;0;Plain Arch
30;143;1;Plain Arch
30;144;1;Plain Arch
30;153;0;Plain Arch
30;165;0;Plain Arch
31;45;1;Plain Arch
31;46;1;Plain Arch
31;80;0;Plain Arch
31;81;0;Plain Arch
31;136;0;Plain Arch
31;144;1;Plain Arch
31;145;1;Plain Arch
31;155;0;Plain Arch
32;44;1;Plain Arch
32;45;1;Plain Arch
32;67;1;Plain Arch
32;68;1;Plain Arch
32;156;0;Plain Arch
33;44;1;Plain Arch
33;66;1;Plain Arch
33;67;1;Plain Arch
33;76;0;Plain Arch
33;96;0;Plain Arch
33;99;0;Plain Arch
33;158;0;Plain Arch
34;103;0;Plain Arch
34;104;0;Plain Arch
34;130;1;Plain Arch
34;131;1;Plain Arch
34;139;1;Plain Arch
34;140;1;Plain Arch
34;148;1;Plain Arch
34;149;1;Plain Arch
34;159;0;Plain Arch
35;42;0;Plain Arch
35;49;0;Plain Arch
35;57;0;Plain Arch
35;86;0;Plain Arch
35;87;0;Plain Arch
35;106;0;Plain Arch
35;107;0;Plain Arch
35;122;0;Plain Arch
35;131;1;Plain Arch
35;132;1;Plain Arch
35;140;1;Plain Arch
35;141;1;Plain Arch
35;149;1;Plain Arch
35;150;1;Plain Arch
35;161;0;Plain Arch
36;71;1;Plain Arch
36;72;1;Plain Arch
36;83;0;Plain Arch
36;84;0;Plain Arch
36;109;0;Plain Arch
36;132;1;Plain Arch
36;133;1;Plain Arch
36;141;1;Plain Arch
36;142;1;Plain Arch
36;163;0;Plain Arch
37;55;1;Plain Arch
37;70;1;Plain Arch
37;71;1;Plain Arch
37;81;0;Plain Arch
37;112;0;Plain Arch
37;124;0;Plain Arch
37;142;1;Plain Arch
37;143;1;Plain Arch
37;152;1;Plain Arch
37;153;1;Plain Arch
38;54;1;Plain Arch
38;55;1;Plain Arch
38;61;0;Plain Arch
38;114;0;Plain Arch
38;126;0;Plain Arch
38;143;1;Plain Arch
38;144;1;Plain Arch
38;153;1;Plain Arch
38;154;1;Plain Arch
39;46;0;Plain Arch
39;53;1;Plain Arch
39;54;1;Plain Arch
39;95;0;Plain Arch
39;99;0;Plain Arch
